======================================================================
Line Tracing Algorithm - Statistics for 200 Lines
======================================================================

Path Statistics:
  Total steps: 200
  Unique lines: 200
  Efficiency: 200/200 = 100.0%

Value Statistics:
  Starting value: 788.3722
  Ending value: 779.8989
  Value drop: 8.4733 (1.07%)
  Min value: 777.5781
  Max value: 788.3722
  Mean value: 782.7619

Quality Distribution:
  High quality (>99% of max):   170 lines ( 85.0%)
  Medium quality (95-99% of max):  30 lines ( 15.0%)
  Lower quality (<95% of max):     0 lines (  0.0%)

Angle Coverage:
  Phi range: [1.9deg, 182.1deg]
  Theta range: [0.0deg, 179.8deg]

Detailed Line Data:
Step   Phi (deg)    Theta (deg)    Value     
178    176.68       5.94           780.7075  
179    15.20        6.12           779.9138  
180    177.04       2.70           780.9879  
181    8.36         2.88           778.8129  
182    177.40       3.24           781.9683  
183    9.08         3.42           780.3582  
184    177.76       3.78           782.9005  
185    9.80         3.96           779.2390  
186    178.12       4.50           781.1254  
187    10.88        4.32           777.5781  
188    177.76       8.82           782.2302  
189    19.88        10.62          780.7081  
190    181.36       9.72           777.7817  
191    18.08        9.18           779.8416  
192    180.28       8.10           781.4918  
193    15.92        6.66           780.5958  
194    177.40       3.06           781.0888  
195    8.72         2.88           780.1752  
196    177.04       6.30           780.9703  
197    15.56        5.94           780.1444  
198    176.32       7.38           780.3622  
199    18.44        9.18           779.8989  
