======================================================================
Line Tracing Algorithm - Statistics for 3000 Lines
======================================================================

Performance:
  Load time: 24.14 seconds
  Trace time: 79.10 seconds
  Render time: 0.07 seconds
  Total time: 103.31 seconds

Path Statistics:
  Total steps: 3000
  Unique lines: 3000
  Efficiency: 3000/3000 = 100.0%

Value Statistics:
  Starting value: 788.3722
  Ending value: 755.8074
  Value drop: 32.5648 (4.13%)
  Min value: 753.3951
  Max value: 788.3722
  Mean value: 768.1754
  Median value: 767.9082

Quality Distribution:
  High quality (>99% of max):    185 lines (  6.2%)
  Medium quality (95-99% of max): 2815 lines ( 93.8%)
  Lower quality (<95% of max):      0 lines (  0.0%)

Angle Coverage:
  Phi range: [0.1deg, 359.7deg]
  Theta range: [0.0deg, 179.8deg]
  Unique phi positions: 176
  Unique theta angles: 173

Value Distribution by Percentile:
  10th percentile: 758.4040
  25th percentile: 761.3807
  50th percentile: 767.9082
  75th percentile: 774.0272
  90th percentile: 778.5065
  95th percentile: 781.2141
  99th percentile: 785.5010

Detailed Line Data (first 100, last 100, and every 100th):
Step   Phi (deg)    Theta (deg)    Value     
2932   178.48       17.46          757.6177  
2933   36.44        17.64          756.8400  
2934   178.84       0.00           756.6007  
2935   1.16         176.04         755.8255  
2936   170.92       176.40         756.5530  
2937   1.88         1.98           755.0208  
2938   182.08       8.46           757.1579  
2939   14.84        10.26          756.9877  
2940   185.68       14.94          757.5087  
2941   24.20        14.22          758.2333  
2942   184.24       23.04          758.1891  
2943   41.84        23.22          753.9673  
2944   184.60       23.40          757.3425  
2945   42.20        19.98          753.8527  
2946   177.76       14.76          756.1598  
2947   31.76        17.46          756.5176  
2948   183.16       17.28          757.4212  
2949   31.40        17.10          756.1381  
2950   182.80       10.44          757.1639  
2951   18.08        12.60          755.6326  
2952   187.12       17.82          755.9586  
2953   28.52        16.02          755.7343  
2954   183.52       22.50          757.4874  
2955   41.48        22.68          757.7186  
2956   183.88       12.60          758.0031  
2957   21.32        13.32          757.5831  
2958   185.32       13.14          757.5064  
2959   20.96        7.56           756.3946  
2960   174.16       7.20           757.7665  
2961   20.24        11.88          756.6223  
2962   183.52       13.14          756.9233  
2963   22.76        8.82           757.6983  
2964   174.88       9.54           757.6623  
2965   24.20        15.12          754.6289  
2966   186.04       15.66          757.1660  
2967   25.28        14.22          757.3394  
2968   183.16       16.56          757.3544  
2969   29.96        14.22          757.5476  
2970   178.48       13.68          757.2217  
2971   28.88        17.82          757.0950  
2972   186.76       12.24          757.0809  
2973   17.72        12.42          755.4850  
2974   187.12       12.78          755.4691  
2975   18.44        10.62          755.1087  
2976   182.80       21.60          756.9271  
2977   40.40        21.42          757.3265  
2978   182.44       21.78          757.5247  
2979   41.12        22.50          757.7345  
2980   183.88       5.94           757.9172  
2981   8.00         3.96           756.5419  
2982   179.92       4.32           756.8456  
2983   8.72         6.48           755.7265  
2984   184.24       14.04          757.4635  
2985   23.84        9.72           758.5718  
2986   175.60       10.98          757.5452  
2987   26.36        12.78          757.4250  
2988   179.20       14.22          756.8760  
2989   29.24        16.20          756.6818  
2990   183.16       21.60          757.2062  
2991   40.04        21.24          755.9857  
2992   182.44       2.88           757.5203  
2993   3.32         177.30         756.5662  
2994   171.28       175.14         757.2176  
2995   359.00       178.20         755.8008  
2996   177.40       18.90          757.1529  
2997   40.40        21.24          756.2334  
2998   182.08       16.20          756.5286  
2999   30.32        18.54          755.8074  
